date,隆基绿能,沪深300,中证1000,沪深300价值,沪深300成长
2019-01-02,17.37,2969.535,4408.525,4036.416,3257.829
2019-01-03,17.48,2964.842,4376.858,4052.596,3232.425
2019-01-04,17.94,3035.874,4497.893,4128.143,3301.789
2019-01-07,18.43,3054.303,4594.148,4135.498,3326.853
2019-01-08,18.5,3047.703,4585.032,4121.208,3316.547
2019-01-09,19.03,3078.475,4594.738,4164.231,3378.415
2019-01-10,20.93,3072.686,4582.482,4151.069,3392.855
2019-01-11,20.04,3094.778,4621.61,4184.64,3416.755
2019-01-14,20.34,3067.784,4594.19,4150.698,3379.931
2019-01-15,21.52,3127.99,4644.166,4205.69,3472.418
2019-01-16,21.26,3128.651,4637.196,4216.501,3483.326
2019-01-17,20.85,3111.416,4595.49,4200.411,3470.425
2019-01-18,22.27,3168.173,4626.412,4277.033,3544.118
2019-01-21,22.12,3185.636,4655.11,4298.139,3572.241
2019-01-22,21.95,3143.317,4603.202,4254.001,3516.948
2019-01-23,22.1,3141.053,4609.672,4253.224,3510.933
2019-01-24,22.2,3158.781,4635.747,4277.098,3537.576
2019-01-25,22.53,3184.469,4607.944,4331.733,3571.14
2019-01-28,22.17,3183.777,4570.399,4333.498,3562.546
2019-01-29,22.3,3193.969,4490.051,4365.299,3579.424
2019-01-30,22.52,3168.482,4423.135,4346.27,3552.242
2019-01-31,22.18,3201.633,4355.735,4409.178,3599.861
2019-02-01,22.83,3247.397,4482.985,4428.732,3665.768
2019-02-11,23.26,3306.472,4611.829,4457.634,3762.758
2019-02-12,22.95,3330.335,4675.791,4474.977,3789.29
2019-02-13,23.14,3397.027,4759.825,4543.478,3856.415
2019-02-14,23.93,3402.14,4780.044,4528.548,3876.403
2019-02-15,23.6,3338.704,4773.514,4431.618,3790.229
2019-02-18,24.7,3445.744,4942.875,4539.048,3921.566
2019-02-19,25.12,3439.607,4963.751,4532.716,3914.579
2019-02-20,25.71,3451.927,4967.039,4557.577,3921.373
2019-02-21,26.97,3442.705,4947.658,4533.332,3909.7
2019-02-22,29.0,3520.118,5059.509,4588.672,3978.34
2019-02-25,28.96,3729.483,5324.247,4870.363,4190.1
2019-02-26,28.64,3684.693,5323.757,4788.013,4122.387
2019-02-27,26.78,3678.392,5310.274,4810.551,4100.918
2019-02-28,27.1,3669.37,5330.339,4789.168,4126.145
2019-03-01,27.67,3749.714,5364.366,4900.87,4209.74
2019-03-04,27.4,3794.104,5482.298,4949.163,4261.906
2019-03-05,27.57,3816.013,5654.305,4955.598,4284.236
2019-03-06,26.7,3848.09,5776.973,4982.126,4291.351
2019-03-07,26.0,3808.849,5877.297,4899.579,4209.258
2019-03-08,25.31,3657.579,5633.318,4713.639,4079.7
2019-03-11,27.84,3729.954,5876.342,4755.866,4178.621
2019-03-12,27.82,3755.351,6006.177,4780.185,4196.963
2019-03-13,27.61,3724.194,5866.633,4786.207,4198.882
2019-03-14,27.15,3698.485,5688.95,4783.962,4205.56
2019-03-15,27.5,3745.005,5777.108,4834.156,4281.924
2019-03-18,28.01,3851.747,5916.343,4944.254,4411.471
2019-03-19,27.21,3833.962,5941.908,4928.53,4383.337
2019-03-20,26.73,3835.439,5926.169,4941.759,4381.061
2019-03-21,26.7,3836.891,5990.638,4923.529,4365.971
2019-03-22,25.89,3833.801,6014.545,4910.485,4350.578
2019-03-25,25.5,3742.825,5961.435,4791.983,4239.897
2019-03-26,25.33,3700.438,5788.359,4764.753,4206.066
2019-03-27,25.13,3743.387,5826.527,4820.321,4281.655
2019-03-28,25.58,3728.395,5747.863,4776.153,4263.658
2019-03-29,26.1,3872.341,5911.211,4942.336,4430.498
2019-04-01,28.28,3973.928,6137.733,5053.478,4563.963
2019-04-02,28.02,3971.285,6174.942,5066.386,4559.525
2019-04-03,27.85,4022.156,6237.016,5131.358,4592.543
2019-04-04,27.74,4062.23,6260.069,5197.88,4635.871
2019-04-08,27.09,4057.228,6230.213,5223.845,4664.377
2019-04-09,27.09,4075.43,6245.432,5217.946,4700.069
2019-04-10,27.09,4085.847,6235.706,5215.302,4760.626
2019-04-11,27.09,3997.577,6106.949,5137.268,4636.844
2019-04-12,27.09,3988.616,6101.204,5131.079,4612.716
2019-04-15,27.09,3975.524,6052.052,5138.483,4608.534
2019-04-16,27.09,4085.789,6179.8,5296.268,4738.962
2019-04-17,23.4,4087.239,6234.11,5281.102,4742.648
2019-04-18,24.32,4072.075,6202.844,5245.054,4740.992
2019-04-19,24.37,4120.607,6255.252,5310.621,4836.93
2019-04-22,24.32,4025.61,6192.144,5165.077,4713.531
2019-04-23,23.59,4019.005,6078.267,5164.384,4720.951
2019-04-24,23.64,4030.088,6153.39,5166.659,4711.658
2019-04-25,23.55,3941.816,5899.906,5072.878,4600.852
2019-04-26,22.69,3889.274,5834.377,4995.708,4525.042
2019-04-29,22.7,3900.333,5622.484,5062.219,4587.228
2019-04-30,22.7,3913.211,5682.235,5082.635,4590.009
2019-05-06,22.56,3684.616,5246.829,4858.64,4308.14
2019-05-07,23.2,3720.668,5312.496,4877.019,4362.338
2019-05-08,22.18,3667.457,5292.745,4792.73,4284.369
2019-05-09,22.36,3599.7,5237.824,4702.93,4196.936
2019-05-10,23.47,3730.451,5445.526,4850.277,4373.275
2019-05-13,23.27,3668.725,5405.614,4766.524,4279.586
2019-05-14,23.4,3645.15,5368.228,4745.901,4255.77
2019-05-15,25.17,3727.092,5486.386,4829.926,4371.834
2019-05-16,25.0,3743.963,5527.275,4849.637,4397.222
2019-05-17,24.1,3648.76,5330.986,4754.125,4281.848
2019-05-20,24.0,3617.792,5313.149,4723.777,4214.758
2019-05-21,23.8,3666.776,5418.045,4769.848,4280.544
2019-05-22,24.2,3649.379,5395.429,4748.361,4256.949
2019-05-23,23.92,3583.964,5267.826,4685.867,4145.481
2019-05-24,23.68,3593.913,5200.774,4711.703,4169.644
2019-05-27,23.9,3637.197,5354.634,4744.071,4208.218
2019-05-28,24.03,3672.26,5354.525,4789.239,4261.884
2019-05-29,23.45,3663.909,5376.512,4778.573,4274.604
2019-05-30,23.41,3641.183,5341.98,4766.248,4238.842
2019-05-31,23.83,3629.789,5334.247,4750.507,4219.877
2019-06-03,23.15,3632.012,5255.073,4757.076,4211.688
2019-06-04,23.32,3598.466,5160.976,4727.767,4152.464
2019-06-05,23.01,3597.105,5158.465,4733.462,4135.002
2019-06-06,21.92,3564.677,5030.8,4715.724,4095.425
2019-06-10,22.71,3610.743,5098.938,4784.459,4168.148
2019-06-11,23.21,3719.275,5289.624,4883.732,4304.26
2019-06-12,22.44,3691.095,5264.886,4854.023,4272.443
2019-06-13,22.57,3685.393,5294.112,4840.864,4258.409
2019-06-14,22.3,3654.879,5173.068,4811.302,4226.599
2019-06-17,21.47,3654.824,5160.672,4823.577,4219.959
2019-06-18,21.77,3667.618,5160.878,4839.73,4238.429
2019-06-19,22.39,3715.938,5234.275,4886.001,4319.902
2019-06-20,23.04,3828.518,5317.31,5028.291,4472.253
2019-06-21,23.14,3833.938,5406.04,5011.81,4469.104
2019-06-24,23.49,3841.265,5403.798,5022.422,4492.488
2019-06-25,22.74,3801.309,5351.689,4946.123,4442.06
2019-06-26,22.78,3794.331,5351.391,4937.126,4448.264
2019-06-27,23.17,3834.817,5397.571,4978.657,4512.541
2019-06-28,23.11,3825.587,5321.433,4970.146,4505.742
2019-07-01,23.43,3935.811,5481.408,5067.783,4682.854
2019-07-02,22.6,3937.169,5483.515,5067.359,4687.815
2019-07-03,22.6,3893.534,5428.514,5050.387,4615.321
2019-07-04,22.28,3873.101,5404.383,5046.432,4572.806
2019-07-05,22.41,3893.202,5424.25,5040.416,4627.325
2019-07-08,21.85,3802.789,5244.266,4924.367,4513.39
2019-07-09,21.67,3793.129,5260.343,4897.556,4488.408
2019-07-10,21.77,3786.739,5214.644,4880.068,4489.153
2019-07-11,20.98,3785.221,5206.398,4884.033,4473.816
2019-07-12,22.33,3808.731,5219.188,4911.791,4504.801
2019-07-15,22.94,3824.187,5273.814,4916.124,4499.189
2019-07-16,23.1,3806.844,5285.229,4907.382,4462.689
2019-07-17,23.04,3804.638,5289.424,4903.613,4466.191
2019-07-18,24.06,3768.401,5194.601,4877.146,4424.171
2019-07-19,24.0,3807.955,5220.027,4944.852,4459.65
2019-07-22,24.09,3781.683,5073.333,4917.039,4446.274
2019-07-23,24.95,3789.913,5131.097,4915.08,4447.347
2019-07-24,25.0,3819.832,5194.829,4953.579,4483.292
2019-07-25,25.25,3851.066,5211.085,4990.401,4520.765
2019-07-26,26.05,3858.568,5216.601,4999.715,4545.029
2019-07-29,25.91,3854.27,5218.983,4984.758,4544.727
2019-07-30,25.5,3870.317,5239.718,5011.769,4564.03
2019-07-31,25.73,3835.358,5200.094,4946.955,4519.125
2019-08-01,25.6,3803.469,5173.228,4905.162,4474.647
2019-08-02,25.37,3747.437,5091.063,4833.063,4416.937
2019-08-05,24.89,3675.688,5032.642,4734.801,4323.461
2019-08-06,24.9,3636.328,4899.816,4692.58,4300.217
2019-08-07,24.46,3621.431,4885.44,4673.804,4288.36
2019-08-08,24.92,3669.293,4923.326,4730.025,4348.933
2019-08-09,24.68,3633.529,4869.792,4705.244,4310.244
2019-08-12,25.16,3699.104,4952.217,4769.58,4405.163
2019-08-13,24.53,3665.751,4928.464,4712.739,4363.192
2019-08-14,24.46,3682.401,4961.75,4715.039,4401.75
2019-08-15,24.99,3694.0,4985.421,4728.72,4428.099
2019-08-16,24.4,3710.538,5013.582,4735.449,4464.911
2019-08-19,24.76,3791.094,5173.176,4814.04,4548.487
2019-08-20,24.59,3787.732,5185.265,4800.766,4561.62
2019-08-21,27.05,3781.757,5186.621,4789.192,4557.567
2019-08-22,26.64,3793.506,5208.552,4784.014,4588.687
2019-08-23,26.98,3820.863,5197.548,4825.437,4656.366
2019-08-26,26.25,3765.91,5168.679,4743.256,4576.526
2019-08-27,26.72,3816.945,5266.657,4781.733,4638.928
2019-08-28,27.9,3802.584,5256.177,4755.148,4622.108
2019-08-29,27.65,3790.186,5260.949,4720.233,4623.067
2019-08-30,27.65,3799.586,5182.955,4724.317,4669.363
2019-09-02,28.71,3848.319,5317.533,4770.47,4735.044
2019-09-03,28.9,3853.61,5357.06,4768.092,4745.336
2019-09-04,28.79,3886.001,5394.706,4833.639,4756.344
2019-09-05,28.95,3925.323,5445.574,4877.832,4789.7
2019-09-06,28.05,3948.507,5468.459,4922.839,4825.472
2019-09-09,27.97,3972.948,5602.241,4927.635,4848.245
2019-09-10,27.75,3959.265,5614.575,4902.993,4821.202
2019-09-11,27.62,3930.099,5566.408,4917.499,4749.232
2019-09-12,27.98,3972.379,5592.921,4974.83,4824.321
2019-09-16,28.2,3957.715,5627.235,4947.638,4813.682
2019-09-17,27.56,3891.22,5492.222,4867.055,4741.312
2019-09-18,27.21,3910.083,5485.878,4877.134,4796.032
2019-09-19,27.17,3924.382,5550.407,4880.229,4808.384
2019-09-20,27.55,3935.651,5556.477,4888.18,4832.327
2019-09-23,27.06,3890.661,5501.214,4828.705,4780.603
2019-09-24,28.2,3901.075,5528.892,4824.266,4813.693
2019-09-25,26.39,3870.983,5421.624,4811.102,4775.278
2019-09-26,26.41,3841.138,5244.076,4822.854,4738.023
2019-09-27,26.47,3852.653,5291.435,4814.951,4746.752
2019-09-30,26.23,3814.528,5232.386,4775.725,4694.395
2019-10-08,25.8,3837.679,5237.181,4823.686,4732.956
2019-10-09,26.31,3843.239,5285.149,4855.533,4716.06
2019-10-10,26.58,3874.639,5366.925,4864.675,4760.18
2019-10-11,26.52,3911.725,5370.654,4935.501,4805.581
2019-10-14,26.69,3953.241,5455.606,4998.578,4846.161
2019-10-15,26.38,3936.249,5375.528,4977.329,4842.801
2019-10-16,24.11,3922.685,5353.015,4977.444,4826.352
2019-10-17,24.2,3925.221,5347.267,4981.286,4839.508
2019-10-18,23.35,3869.377,5280.532,4899.241,4777.035
2019-10-21,23.29,3880.839,5247.298,4929.542,4785.132
2019-10-22,23.21,3895.88,5312.458,4927.003,4815.267
2019-10-23,23.3,3871.084,5269.722,4906.125,4777.45
2019-10-24,23.13,3870.667,5259.454,4930.377,4761.703
2019-10-25,23.26,3896.792,5300.094,4917.485,4797.568
2019-10-28,23.22,3926.585,5425.754,4917.987,4842.406
2019-10-29,22.75,3910.226,5366.754,4887.139,4851.188
2019-10-30,22.84,3891.225,5313.416,4865.821,4834.408
2019-10-31,22.84,3886.751,5253.881,4851.075,4833.927
2019-11-01,22.38,3952.387,5303.99,4939.507,4946.006
2019-11-04,22.8,3978.121,5337.083,4966.259,4977.366
2019-11-05,22.77,4002.812,5352.061,5001.13,4992.357
2019-11-06,23.0,3984.881,5304.838,4992.343,4975.916
2019-11-07,22.82,3991.874,5340.171,4990.841,4983.763
2019-11-08,22.55,3973.01,5321.777,4955.559,4981.584
2019-11-11,22.23,3902.978,5183.571,4872.982,4892.084
2019-11-12,21.41,3903.688,5196.715,4880.491,4882.637
2019-11-13,22.05,3899.981,5181.492,4851.63,4905.127
2019-11-14,22.3,3905.857,5216.643,4838.242,4922.356
2019-11-15,21.97,3877.089,5152.563,4821.786,4887.06
2019-11-18,22.11,3907.929,5189.352,4870.44,4920.226
2019-11-19,22.79,3947.039,5286.148,4890.678,4988.819
2019-11-20,22.52,3907.864,5259.469,4829.464,4956.429
2019-11-21,23.0,3889.598,5250.665,4808.769,4908.689
2019-11-22,22.94,3849.994,5181.109,4795.159,4818.467
2019-11-25,22.75,3878.206,5151.368,4879.857,4840.108
2019-11-26,23.25,3891.653,5147.728,4869.654,4865.498
2019-11-27,23.11,3875.618,5145.967,4848.155,4844.953
2019-11-28,23.44,3862.302,5131.128,4825.474,4826.722
2019-11-29,23.85,3828.67,5126.614,4800.77,4750.503
2019-12-02,24.18,3836.058,5137.783,4810.664,4749.602
2019-12-03,24.45,3851.087,5171.356,4831.076,4770.327
2019-12-04,24.4,3849.819,5179.694,4805.025,4787.352
2019-12-05,24.94,3879.363,5238.13,4828.19,4831.08
2019-12-06,25.6,3902.385,5275.509,4836.339,4884.17
2019-12-09,25.22,3895.446,5294.281,4848.104,4846.953
2019-12-10,25.05,3900.384,5326.36,4837.221,4869.797
2019-12-11,24.78,3902.749,5304.881,4872.338,4863.326
2019-12-12,24.98,3891.024,5304.423,4862.522,4839.548
2019-12-13,25.0,3968.221,5375.976,4960.663,4942.04
2019-12-16,25.54,3987.546,5476.988,4974.513,4947.642
2019-12-17,25.76,4041.799,5545.618,5033.433,5000.894
2019-12-18,25.57,4032.782,5543.787,5023.574,4983.371
2019-12-19,24.8,4027.149,5568.113,5032.611,4973.94
2019-12-20,24.55,4017.252,5501.157,5031.765,4955.42
2019-12-23,24.23,3967.096,5377.086,4975.067,4913.9
2019-12-24,24.42,3992.958,5471.735,4993.291,4932.105
2019-12-25,24.8,3990.867,5504.416,4978.036,4928.826
2019-12-26,24.44,4025.987,5543.664,5027.848,4967.64
2019-12-27,24.41,4022.027,5498.925,5030.458,4974.434
2019-12-30,24.98,4081.633,5529.996,5082.07,5044.688
2019-12-31,24.83,4096.582,5567.033,5088.757,5074.009
2020-01-02,26.53,4152.24,5676.557,5168.894,5121.796
2020-01-03,26.98,4144.964,5706.043,5168.562,5076.463
2020-01-06,27.6,4129.295,5764.733,5122.837,5040.255
2020-01-07,27.63,4160.227,5852.36,5152.382,5088.613
2020-01-08,27.71,4112.317,5772.474,5092.059,5042.191
2020-01-09,28.95,4164.369,5864.182,5137.291,5130.98
2020-01-10,28.58,4163.184,5851.892,5121.635,5139.443
2020-01-13,28.83,4203.988,5926.722,5147.806,5194.691
2020-01-14,28.7,4189.886,5914.113,5146.026,5168.657
2020-01-15,28.68,4166.734,5913.518,5087.622,5160.505
2020-01-16,28.45,4149.043,5902.131,5053.165,5142.968
2020-01-17,28.88,4154.853,5879.412,5059.179,5158.75
2020-01-20,28.99,4185.83,5954.866,5082.816,5179.737
2020-01-21,29.66,4114.308,5901.858,4985.219,5092.509
2020-01-22,29.86,4131.931,5919.587,4993.163,5121.699
2020-01-23,29.05,4003.901,5699.008,4851.44,4958.681
2020-02-03,28.0,3688.357,5200.162,4486.507,4582.341
2020-02-04,29.9,3785.637,5212.1,4591.615,4735.722
2020-02-05,29.8,3828.527,5348.34,4610.267,4797.579
2020-02-06,30.4,3899.775,5515.641,4661.255,4886.889
2020-02-07,32.77,3899.869,5583.595,4652.409,4877.867
2020-02-10,33.15,3916.005,5661.562,4670.715,4899.09
2020-02-11,32.81,3952.464,5623.258,4712.517,4974.111
2020-02-12,33.52,3984.432,5754.257,4723.041,5010.71
2020-02-13,32.76,3959.918,5707.532,4704.433,4977.143
2020-02-14,32.18,3987.734,5727.829,4744.39,4993.47
2020-02-17,33.09,4077.424,5936.482,4825.571,5077.067
2020-02-18,33.34,4057.51,6072.193,4780.841,5037.493
2020-02-19,32.64,4051.31,6018.05,4777.869,5031.635
2020-02-20,33.25,4144.656,6134.388,4857.613,5136.365
2020-02-21,33.9,4149.49,6243.478,4837.937,5139.804
2020-02-24,34.0,4132.838,6380.414,4781.623,5106.466
2020-02-25,33.51,4123.854,6407.143,4740.196,5062.914
2020-02-26,31.82,4073.015,6221.835,4764.546,4986.869
2020-02-27,32.57,4084.875,6232.089,4773.7,5028.719
2020-02-28,30.7,3940.048,5870.966,4651.065,4865.249
2020-03-02,31.5,4069.666,6113.411,4806.197,5019.208
2020-03-03,31.01,4091.361,6195.891,4802.23,5061.039
2020-03-04,30.45,4115.052,6226.533,4843.079,5086.112
2020-03-05,31.34,4206.725,6315.834,4938.381,5219.588
2020-03-06,30.7,4138.507,6296.738,4842.64,5140.811
2020-03-09,28.72,3997.1325,6049.6211,4705.9354,4946.554
2020-03-10,29.32,4082.7315,6206.408,4779.215,5065.5679
2020-03-11,29.75,4028.4289,6122.9093,4722.9682,5010.7127
2020-03-12,28.42,3950.9111,5999.6395,4658.5271,4889.6058
2020-03-13,28.0,3895.3128,5945.4645,4586.7475,4807.1859
2020-03-16,25.2,3727.8398,5657.7747,4437.2826,4583.426
2020-03-17,24.9,3709.6822,5642.9188,4419.284,4542.4153
2020-03-18,24.31,3636.2565,5556.1082,4320.749,4457.8572
2020-03-19,23.89,3589.0926,5617.1948,4210.2951,4373.4725
2020-03-20,24.06,3653.2239,5670.471,4293.1059,4478.9195
2020-03-23,22.27,3530.3058,5416.5708,4166.9925,4328.7332
2020-03-24,22.49,3625.1146,5517.2552,4284.4675,4460.7712
2020-03-25,23.92,3722.5181,5646.6252,4389.0688,4609.17
2020-03-26,23.61,3698.0472,5595.4333,4365.4909,4584.0775
2020-03-27,24.24,3710.0605,5553.6122,4393.1578,4604.8248
2020-03-30,24.76,3674.1108,5415.4107,4372.7864,4538.7038
2020-03-31,24.84,3686.1551,5427.1324,4342.9967,4584.3628
2020-04-01,25.35,3675.0758,5403.303,4335.4914,4577.8795
2020-04-02,25.96,3734.5306,5538.604,4374.3147,4670.6905
2020-04-03,25.33,3713.2183,5507.1187,4343.8398,4659.6586
2020-04-07,25.76,3798.0214,5695.1689,4409.55,4781.6161
2020-04-08,25.67,3780.3445,5718.1282,4386.1307,4757.7029
2020-04-09,25.09,3792.8105,5789.2646,4385.8826,4782.0784
2020-04-10,24.75,3769.1782,5637.5316,4383.9209,4776.1567
2020-04-13,23.88,3753.2566,5578.856,4378.8175,4779.0561
2020-04-14,25.28,3825.6991,5692.0009,4433.5006,4875.4373
2020-04-15,25.24,3797.3623,5657.9482,4390.9046,4824.112
2020-04-16,26.29,3802.3806,5700.9604,4388.4672,4828.6501
2020-04-17,28.92,3839.4871,5710.0533,4432.1145,4886.6708
2020-04-20,27.9,3853.4551,5803.4021,4430.7918,4913.0958
2020-04-21,27.7,3808.0474,5773.0079,4387.5557,4841.3961
2020-04-22,28.15,3839.3834,5826.5596,4395.6464,4911.94
2020-04-23,27.85,3829.7525,5789.4817,4383.2201,4906.5821
2020-04-24,27.71,3796.9721,5675.5096,4352.2049,4863.8031
2020-04-27,28.34,3822.769,5645.6565,4392.0104,4913.2745
2020-04-28,29.8,3849.1465,5561.1976,4404.3041,4976.9079
2020-04-29,29.98,3867.032,5547.6279,4475.7509,4978.3375
2020-04-30,30.81,3912.5772,5678.1658,4507.9935,5014.9329
2020-05-06,30.53,3936.2539,5802.4187,4484.3435,5067.7937
2020-05-07,31.19,3924.8946,5795.872,4461.3392,5075.6638
2020-05-08,31.2,3963.6217,5862.7665,4505.9644,5134.9363
2020-05-11,30.8,3960.1803,5851.8037,4524.1971,5135.7253
2020-05-12,32.0,3960.2378,5869.5065,4497.2241,5170.8431
2020-05-13,32.04,3968.2529,5917.0268,4490.0134,5194.1648
2020-05-14,30.53,3925.2177,5863.2364,4436.7336,5146.2606
2020-05-15,30.65,3912.8159,5889.9767,4425.8557,5108.1318
2020-05-18,31.74,3922.9117,5860.0427,4429.6424,5152.9481
2020-05-19,32.42,3956.2495,5936.5992,4458.4584,5206.034
2020-05-20,31.86,3935.222,5865.8412,4449.3177,5166.2863
2020-05-21,31.75,3913.7949,5791.6402,4420.4956,5159.0298
2020-05-22,30.97,3824.064,5683.9962,4331.3781,5027.9936
2020-05-25,31.06,3829.3245,5671.9722,4338.1157,5049.7951
2020-05-26,31.47,3872.7701,5808.5486,4368.1614,5122.8548
2020-05-27,31.28,3845.6135,5772.0836,4366.4389,5072.6315
2020-05-28,30.85,3856.6324,5758.9271,4401.7922,5067.7947
2020-05-29,32.41,3867.0232,5816.4003,4374.0075,5112.3549
2020-06-01,32.99,3971.3402,5993.7853,4454.8869,5262.6877
2020-06-02,32.06,3983.5677,6002.8363,4499.596,5255.9924
2020-06-03,32.02,3983.6477,5994.6378,4499.9587,5263.802
2020-06-04,31.34,3982.1851,6006.7648,4486.861,5280.4114
2020-06-05,31.31,4001.2509,6015.3274,4490.851,5316.4348
2020-06-08,31.9,4021.9549,6001.4315,4530.1945,5333.7237
2020-06-09,32.46,4047.0293,6042.3353,4541.3122,5378.1848
2020-06-10,31.91,4039.7051,6049.322,4503.9024,5398.956
2020-06-11,33.53,3995.8846,6027.4085,4438.0166,5346.5277
2020-06-12,33.34,4003.0829,6031.1709,4430.2176,5377.038
2020-06-15,32.8,3954.9883,6028.9556,4366.3521,5313.357
2020-06-16,33.0,4014.5702,6151.6855,4418.5948,5398.6467
2020-06-17,33.25,4017.5941,6178.1413,4413.878,5404.8771
2020-06-18,33.25,4044.3842,6149.2892,4434.8069,5436.7334
2020-06-19,33.95,4098.7095,6187.1082,4450.6296,5525.708
2020-06-22,34.68,4102.0459,6228.0162,4426.1243,5509.5924
2020-06-23,36.0,4121.7944,6238.8971,4405.7816,5557.2257
2020-06-24,38.0,4138.9895,6227.5693,4443.0093,5586.6571
2020-06-29,40.3,4109.7164,6211.3813,4401.8632,5569.4009
2020-06-30,40.73,4163.9637,6319.5558,4417.8236,5651.7339
2020-07-01,41.63,4247.7835,6339.3685,4537.6337,5788.126
2020-07-02,40.94,4335.8445,6413.952,4657.8917,5869.7791
2020-07-03,41.7,4419.5955,6478.3539,4754.3395,5924.1815
2020-07-06,44.46,4670.0949,6725.9962,5111.6665,6172.3788
2020-07-07,44.2,4698.1264,6817.865,5077.7411,6262.536
2020-07-08,46.13,4774.0042,6973.9967,5122.4231,6312.9293
2020-07-09,46.35,4840.7712,7182.1769,5130.4888,6449.4164
2020-07-10,46.21,4753.1333,7150.4243,4951.4499,6397.2386
2020-07-13,47.6,4852.9612,7403.0857,4988.0272,6552.8576
2020-07-14,48.89,4806.6902,7344.9876,4924.767,6494.5773
2020-07-15,48.66,4744.4687,7131.4636,4828.4969,6461.7172
2020-07-16,45.8,4516.2532,6758.1403,4724.3859,6105.096
2020-07-17,46.26,4544.7007,6772.5322,4721.7311,6202.9099
2020-07-20,47.73,4680.3046,7003.6672,4906.1447,6351.173
2020-07-21,48.7,4691.0425,7058.7908,4866.7525,6407.3487
2020-07-22,47.92,4714.4454,7125.5686,4856.47,6435.4586
2020-07-23,52.71,4712.4357,7119.6711,4792.744,6476.9219
2020-07-24,51.2,4505.5906,6784.6347,4647.46,6181.919
