中信证券,招商证券,中国人保,海螺水泥,恒瑞医药,中国中免,伊利股份,通威股份,五粮液,兴业银行
25.49,38.88,86.12,1130.0,87.68,90.05,31.75,26.53,132.08,20.21
25.38,39.4,86.2,1078.56,85.95,90.98,31.74,26.98,130.55,20.14
25.32,39.24,85.6,1077.99,84.09,90.0,31.09,27.6,129.2,19.91
25.7,39.15,86.15,1094.53,84.87,90.91,32.15,27.63,129.37,19.99
24.94,38.41,85.0,1088.14,84.68,91.3,32.19,27.71,128.89,19.58
25.44,38.9,85.04,1102.7,86.88,94.0,32.49,28.95,130.77,19.68
25.55,39.04,84.78,1112.5,87.5,94.34,32.42,28.58,133.62,19.69
25.97,39.1,86.45,1124.27,87.84,91.0,32.99,28.83,139.66,19.7
25.56,38.81,86.83,1107.4,86.51,88.84,32.73,28.7,138.56,19.75
25.32,38.12,85.81,1112.13,86.93,89.36,33.27,28.68,140.8,19.49
25.11,37.96,85.55,1107.0,86.44,90.39,33.53,28.45,140.66,19.27
25.36,37.93,86.25,1107.5,90.66,89.85,32.88,28.88,138.55,19.25
25.76,38.31,87.6,1091.0,90.1,86.9,32.89,28.99,137.56,19.4
25.17,37.79,85.6,1075.3,90.37,83.75,32.2,29.66,132.62,19.07
25.2,37.82,85.22,1075.51,90.33,84.58,32.45,29.86,131.7,19.13
23.9,36.81,83.49,1052.8,87.99,82.0,30.64,29.05,126.16,18.59
21.51,35.03,77.71,1003.92,85.46,73.8,28.38,28.0,113.54,17.11
21.73,35.35,80.43,1038.01,86.75,75.08,29.54,29.9,114.5,17.54
22.07,35.36,80.38,1049.99,88.91,77.78,29.6,29.8,117.51,17.53
22.63,35.75,81.52,1071.0,90.09,80.8,30.3,30.4,119.15,17.66
22.54,35.42,81.03,1076.0,89.65,80.2,30.75,32.77,120.58,17.61
22.67,35.1,80.3,1066.49,88.5,79.0,30.17,33.15,121.13,17.52
22.69,35.57,81.13,1098.0,90.15,80.05,30.23,32.81,124.79,17.69
22.9,35.6,81.2,1097.27,92.96,80.4,30.25,33.52,124.49,17.72
22.55,35.27,80.45,1091.0,91.45,79.16,29.67,32.76,124.14,17.58
22.98,35.64,81.0,1088.0,91.55,80.94,29.7,32.18,123.43,17.75
24.18,36.17,82.39,1093.82,92.38,81.25,30.17,33.09,124.3,18.15
23.98,35.7,81.55,1084.0,90.6,80.2,30.2,33.34,123.39,17.9
24.0,35.53,81.7,1096.5,89.68,83.31,30.51,32.64,126.0,17.89
25.42,35.98,83.28,1118.0,90.8,85.8,31.09,33.25,130.15,18.15
25.18,35.64,82.38,1112.88,90.2,85.07,30.71,33.9,130.0,18.08
25.04,35.05,80.72,1087.18,88.38,82.97,29.97,34.0,127.1,17.84
25.21,34.63,80.19,1074.81,88.31,81.84,29.69,33.51,125.3,17.71
24.71,34.83,79.83,1073.7,86.68,80.2,29.37,31.82,124.1,17.7
24.77,35.22,79.79,1087.39,87.21,80.45,29.95,32.57,126.3,17.82
23.4,34.2,77.72,1057.0,84.09,78.5,28.91,30.7,120.6,17.29
24.48,34.75,79.58,1086.01,85.2,78.39,29.59,31.5,122.65,17.59
24.73,34.62,79.49,1113.0,88.34,79.17,29.85,31.01,124.37,17.66
25.33,34.78,80.58,1128.92,87.8,79.06,30.36,30.45,125.27,17.71
25.99,36.23,82.45,1171.0,91.7,84.11,30.94,31.34,133.2,18.29
25.11,35.41,80.91,1155.5,92.25,83.27,30.37,30.7,130.07,17.92
24.31,34.18,78.14,1114.01,88.89,79.13,29.03,28.72,126.3,17.37
25.06,34.68,79.18,1156.0,90.6,81.48,29.89,29.32,130.72,17.57
24.34,34.45,78.15,1158.52,89.03,82.66,29.26,29.75,129.9,17.35
23.98,34.16,76.65,1138.5,86.38,79.08,28.57,28.42,126.04,17.19
23.94,33.41,74.71,1112.03,84.7,83.59,28.26,28.0,122.6,16.86
22.67,31.67,72.0,1067.0,82.05,77.8,27.25,25.2,115.5,16.21
22.93,31.73,72.14,1045.1,81.09,77.22,27.78,24.9,112.36,16.11
22.23,30.82,69.87,1007.99,80.6,75.38,27.67,24.31,107.59,15.7
22.36,29.31,67.81,996.0,79.0,71.92,27.84,23.89,102.11,15.01
22.66,31.04,69.0,1035.28,80.16,75.6,28.35,24.06,108.51,15.4
21.89,30.16,66.76,1019.0,82.3,72.15,27.51,22.27,104.51,15.01
22.31,31.51,68.95,1056.0,85.66,73.27,28.35,22.49,109.05,15.43
22.76,32.49,70.35,1080.1,88.97,74.8,28.64,23.92,114.0,15.83
22.48,32.72,70.19,1064.92,90.28,72.9,28.38,23.61,113.89,16.19
22.57,32.72,69.72,1075.5,90.89,72.42,28.69,24.24,115.81,16.28
22.27,32.65,69.15,1072.0,90.7,67.95,29.03,24.76,113.23,16.2
22.16,32.28,69.17,1111.0,92.03,67.2,29.86,24.84,115.2,15.91
22.1,32.13,69.32,1103.0,90.0,68.53,29.3,25.35,115.0,15.96
22.43,32.34,69.67,1145.0,91.85,71.83,29.23,25.96,117.19,16.07
22.13,32.15,68.86,1139.79,93.73,72.63,29.43,25.33,117.52,16.06
22.58,32.52,69.97,1159.95,95.5,75.55,30.19,25.76,124.14,16.21
22.55,32.22,69.39,1159.76,94.78,75.62,29.93,25.67,125.28,16.05
22.65,32.3,69.64,1158.5,96.79,77.5,30.15,25.09,124.98,16.03
22.49,32.1,70.99,1165.0,96.21,77.32,30.2,24.75,126.52,16.15
22.27,31.93,70.13,1162.3,96.67,78.43,29.86,23.88,125.0,15.95
23.21,32.71,71.02,1185.1,98.49,79.39,30.52,25.28,128.45,16.14
23.02,32.42,70.85,1189.6,97.43,76.6,29.98,25.24,127.91,16.0
23.67,32.1,70.38,1197.1,97.41,77.0,29.8,26.29,126.1,15.92
23.38,32.86,72.4,1226.0,96.6,81.3,29.95,28.92,128.82,16.06
23.49,32.9,73.5,1227.3,96.7,82.8,30.5,27.9,129.31,15.93
23.17,32.65,72.37,1200.0,95.3,82.22,30.03,27.7,126.47,15.8
23.19,32.73,72.07,1244.5,97.5,85.92,30.33,28.15,130.3,15.8
22.92,32.69,72.16,1252.26,96.05,86.56,30.73,27.85,131.09,15.71
22.7,32.51,70.5,1250.56,95.28,87.69,31.2,27.71,131.4,15.62
22.83,33.58,71.2,1276.0,96.35,86.4,31.03,28.34,132.7,16.02
23.29,33.86,72.38,1279.13,96.05,89.62,31.42,29.8,139.0,16.09
23.39,35.02,74.0,1274.9,93.39,90.3,29.29,29.98,135.5,16.51
23.7,35.09,74.46,1265.7,93.0,91.3,29.24,30.81,135.77,16.62
23.62,34.63,73.81,1300.0,96.42,90.25,29.17,30.53,138.21,16.33
23.41,34.45,73.23,1312.0,96.6,91.2,29.06,31.19,141.91,16.16
23.82,34.97,72.97,1314.61,97.05,92.68,29.44,31.2,142.9,16.37
23.57,34.96,73.9,1323.01,93.68,88.9,29.22,30.8,141.85,16.39
23.63,34.59,73.93,1333.0,95.44,90.44,29.13,32.0,142.9,16.24
23.74,34.54,73.34,1335.95,95.7,89.99,29.48,32.04,146.0,16.25
23.44,33.93,72.23,1326.59,97.2,88.85,29.0,30.53,146.3,16.02
23.44,33.85,72.23,1313.0,94.83,87.57,28.48,30.65,145.22,16.05
23.08,33.8,72.2,1346.21,97.2,87.5,28.68,31.74,151.19,16.03
23.21,34.27,72.9,1346.11,97.94,89.4,29.0,32.42,151.42,16.12
23.09,34.68,72.95,1351.0,97.9,87.66,28.72,31.86,150.85,16.2
23.02,34.73,72.38,1366.1,99.74,87.78,28.58,31.75,151.68,16.11
22.3,33.63,70.12,1328.2,95.88,86.17,27.89,30.97,144.25,15.78
22.21,33.09,70.03,1362.9,80.95,88.79,28.5,31.06,147.03,15.84
22.47,33.43,70.51,1358.0,81.5,96.02,28.62,31.47,147.81,15.86
22.29,33.43,70.65,1338.0,79.87,96.6,28.73,31.28,146.16,15.95
22.48,34.22,71.51,1344.0,78.5,95.0,28.44,30.85,146.16,16.15
22.27,33.82,70.71,1366.6,78.7,101.23,28.45,32.41,148.2,16.1
23.14,34.82,72.16,1419.5,80.22,102.18,28.92,32.99,158.59,16.27
23.02,35.04,74.28,1410.71,80.4,99.87,28.84,32.06,158.77,16.39
22.9,35.22,75.01,1399.3,80.17,102.18,28.76,32.02,158.24,16.33
22.76,35.15,75.14,1407.99,81.2,99.92,28.88,31.34,158.85,16.25
22.84,35.24,75.3,1425.0,82.3,106.41,28.48,31.31,160.09,16.21
22.97,35.67,76.72,1406.1,80.3,106.18,30.28,31.9,160.61,16.15
23.29,35.53,76.5,1416.55,82.97,110.0,30.55,32.46,162.61,16.25
23.06,35.34,75.58,1423.66,84.54,106.34,29.35,31.91,162.54,16.02
22.79,34.47,74.22,1400.46,84.46,108.95,28.89,33.53,160.07,15.81
22.61,34.5,74.15,1416.37,85.84,119.85,29.1,33.34,161.5,15.97
22.59,33.57,72.54,1383.0,84.24,120.0,28.6,32.8,157.0,15.63
22.86,34.14,73.46,1403.88,87.14,126.5,28.91,33.0,157.68,15.77
22.77,34.2,73.01,1405.0,89.65,124.88,29.39,33.25,155.88,15.74
23.08,33.89,73.4,1413.0,89.3,129.08,29.24,33.25,158.36,15.75
23.85,33.86,73.42,1439.84,92.98,130.81,29.91,33.95,165.57,15.77
24.11,33.5,72.77,1439.0,93.23,126.25,30.09,34.68,163.0,15.68
24.04,33.35,71.96,1474.5,94.5,126.5,30.24,36.0,167.98,15.59
24.25,33.9,72.26,1460.01,92.95,127.3,30.82,38.0,168.61,15.84
23.5,33.64,71.01,1463.17,92.23,140.03,30.88,40.3,167.5,15.79
24.11,33.72,71.4,1462.88,92.3,154.03,31.13,40.73,171.12,15.78
24.72,34.79,73.5,1494.27,91.05,167.28,31.89,41.63,181.98,16.15
26.06,35.3,76.0,1544.0,91.2,166.14,31.94,40.94,189.49,16.55
28.67,36.74,77.96,1541.79,91.88,182.75,31.59,41.7,188.72,16.97
31.54,40.41,84.12,1600.0,93.13,201.03,33.8,44.46,192.82,18.63
31.13,41.06,83.22,1688.0,97.29,192.4,33.6,44.2,201.89,18.35
33.5,40.5,85.69,1681.34,97.06,195.86,34.84,46.13,203.36,18.63
33.08,39.91,85.92,1706.0,98.51,193.79,35.02,46.35,203.72,18.35
31.77,37.25,82.34,1713.85,99.35,203.49,34.56,46.21,207.0,17.6
32.48,37.3,82.36,1781.99,99.82,194.67,35.45,47.6,218.2,17.51
32.03,36.51,81.3,1762.0,98.43,190.0,35.16,48.89,220.9,17.35
32.0,35.86,80.22,1752.53,102.99,190.53,35.45,48.66,223.95,16.24
29.32,35.6,78.22,1614.0,96.35,171.0,33.1,45.8,201.56,16.12
28.62,36.08,78.02,1648.05,96.33,188.1,34.35,46.26,205.39,16.09
30.65,37.27,82.8,1636.96,96.49,196.0,33.44,47.73,201.68,16.48
30.33,36.84,80.76,1668.0,99.3,196.75,34.06,48.7,205.58,16.35
30.5,36.44,79.93,1678.08,99.37,206.61,36.0,47.92,208.9,16.28
30.54,35.6,79.0,1676.0,99.37,227.27,35.54,52.71,210.07,15.99
28.5,34.6,77.0,1595.3,94.79,204.54,34.03,51.2,201.39,15.66
28.5,34.25,76.43,1622.55,95.39,199.69,33.9,53.8,204.1,15.54
28.4,34.58,76.38,1670.0,94.6,206.7,35.36,53.07,214.0,15.6
29.77,35.07,77.3,1672.0,95.85,214.0,35.87,54.48,214.98,15.81
29.56,34.56,76.03,1680.0,94.97,223.3,36.02,57.32,216.32,15.65
29.96,34.8,75.9,1678.18,94.38,243.0,36.63,56.8,217.5,15.66
30.41,35.0,76.44,1668.0,93.2,238.5,38.1,57.7,217.72,15.77
30.22,36.68,78.67,1669.99,93.98,223.55,37.77,58.51,215.8,16.16
29.91,36.3,77.13,1668.0,92.79,223.85,37.73,57.92,217.48,15.9
32.08,37.02,77.15,1637.96,91.0,218.26,37.13,55.5,211.02,15.98
31.96,36.61,76.33,1631.0,91.2,220.88,36.43,58.2,207.26,15.73
33.21,37.0,77.01,1633.99,90.79,213.7,36.42,58.68,205.94,15.83
31.31,37.54,76.77,1642.51,91.78,214.28,36.0,57.0,209.0,15.84
31.09,37.79,77.16,1626.95,90.01,206.65,35.32,55.36,206.47,16.01
30.89,37.33,76.6,1635.0,88.88,204.49,34.84,56.09,206.9,15.94
31.37,38.0,78.19,1661.0,89.5,207.25,35.24,56.35,212.9,16.1
32.97,39.05,81.1,1690.0,90.9,207.2,35.35,56.02,219.99,16.5
33.14,38.85,79.75,1705.0,93.4,210.95,36.14,56.8,220.57,16.26
32.69,38.35,78.17,1687.0,92.73,200.0,34.99,53.54,222.2,16.04
31.98,37.52,77.6,1664.0,91.7,194.0,34.07,51.42,216.44,15.89
31.92,37.77,78.25,1676.0,91.8,199.38,34.89,54.0,218.4,15.94
31.8,37.5,77.8,1696.35,92.42,203.52,35.22,58.3,225.0,15.85
31.68,37.58,78.11,1727.0,93.99,210.31,35.25,58.85,235.6,15.87
30.73,37.23,76.8,1727.0,94.58,203.53,35.82,57.6,236.65,15.71
30.97,36.9,76.54,1731.0,94.11,203.99,36.9,60.6,238.08,15.71
31.99,38.45,77.89,1757.0,95.39,220.3,40.59,62.96,240.5,15.92
31.8,37.69,76.62,1786.5,94.87,208.0,41.94,63.28,240.0,16.16
32.11,37.42,76.38,1801.98,93.99,216.8,41.52,67.28,236.24,16.35
31.9,37.2,75.93,1795.0,94.7,223.0,41.6,68.01,235.0,16.32
31.52,36.98,75.39,1793.0,95.0,224.3,41.55,66.45,238.64,16.28
31.04,36.8,74.82,1770.0,93.51,219.8,40.98,66.4,230.22,16.12
29.91,36.79,75.06,1723.5,91.6,209.28,40.38,62.52,226.89,16.19
30.65,37.59,77.14,1711.4,92.33,204.2,39.88,63.5,221.93,16.51
30.09,37.6,76.48,1688.0,90.3,197.18,39.17,62.85,217.0,16.32
30.0,37.7,76.52,1705.8,90.74,205.6,38.82,63.91,223.2,16.24
30.09,37.24,77.21,1733.0,91.81,207.21,38.84,69.82,227.88,16.13
30.05,37.35,78.55,1766.0,91.36,214.3,39.02,72.82,230.08,16.12
30.22,37.9,79.91,1760.0,91.1,222.58,39.93,71.97,230.33,16.09
30.23,38.06,78.6,1725.1,89.74,217.26,39.1,73.2,226.02,16.14
29.61,37.87,79.0,1670.52,86.29,212.13,38.16,74.5,222.65,15.98
30.9,38.99,82.89,1695.0,88.98,216.0,39.35,72.05,229.52,16.4
30.93,38.6,80.93,1666.8,88.5,209.01,38.55,71.19,224.9,16.44
30.62,37.88,79.07,1665.69,89.3,206.71,38.63,69.99,222.9,16.25
30.31,37.5,78.56,1649.98,89.84,217.5,38.85,76.99,219.32,16.15
29.95,37.06,77.07,1629.32,87.86,213.1,37.9,69.69,216.3,15.96
30.2,37.18,77.59,1635.11,88.45,219.2,38.11,71.12,217.2,15.95
30.22,37.25,77.95,1661.0,88.58,224.9,38.18,74.0,220.13,15.99
30.26,36.31,76.8,1652.3,89.89,224.3,38.29,75.09,219.73,15.9
30.03,36.0,76.26,1668.5,89.82,222.94,38.5,75.01,221.0,16.13
30.6,36.18,77.9,1696.0,91.95,204.1,40.3,82.0,227.57,16.17
31.72,37.56,80.86,1750.61,94.2,212.0,41.69,82.73,241.75,16.74
31.35,37.79,81.38,1739.0,93.7,214.1,41.48,82.69,242.27,16.77
30.95,38.05,81.38,1729.0,93.0,209.2,41.8,79.82,239.4,16.75
30.97,39.01,81.4,1725.0,93.16,202.83,41.47,77.9,238.91,17.01
31.08,39.78,82.0,1712.0,93.1,203.43,41.21,76.32,236.88,17.64
30.88,39.99,81.85,1699.0,91.52,200.1,40.18,71.5,236.18,17.67
30.65,39.97,81.23,1734.0,91.01,200.02,41.5,73.09,240.98,17.8
30.43,40.8,82.4,1733.33,89.58,195.6,41.85,72.0,241.77,18.17
30.44,41.19,82.1,1742.5,89.56,195.99,42.14,70.5,241.74,18.22
30.1,41.22,83.5,1715.33,88.15,193.06,40.45,67.95,236.63,18.32
29.02,40.62,82.2,1643.0,89.18,185.68,41.4,70.31,232.61,17.78
28.97,40.45,81.07,1625.0,89.23,184.81,41.22,71.34,233.5,17.8
29.26,40.1,79.58,1664.81,91.36,198.41,42.99,72.16,239.98,17.52
29.62,40.19,78.66,1676.0,91.04,200.43,44.14,74.2,250.0,17.8
28.63,39.81,77.83,1670.02,88.84,199.4,39.73,75.99,244.35,17.8
28.08,40.25,77.23,1674.01,89.23,194.4,37.9,73.73,245.7,17.8
28.73,41.24,79.16,1695.0,90.15,197.76,39.11,70.96,250.4,17.91
28.73,42.93,79.5,1699.58,90.17,202.43,39.46,69.8,253.0,18.35
29.19,42.79,80.94,1721.9,91.2,200.1,39.48,73.99,259.41,18.18
29.24,42.48,81.3,1700.62,88.89,196.32,38.88,71.33,259.3,17.99
30.27,43.03,82.98,1742.57,89.37,199.5,39.51,72.17,270.0,17.99
29.75,43.72,83.2,1745.0,87.95,185.27,38.94,74.79,272.8,18.56
29.26,44.35,83.52,1731.35,86.17,184.6,39.26,73.0,268.9,18.68
29.12,43.58,82.27,1734.79,86.55,196.15,39.01,70.05,267.65,18.49
28.71,42.58,80.34,1705.0,85.5,192.5,38.32,66.56,265.0,17.77
28.97,43.0,83.1,1730.05,85.63,186.45,38.22,66.87,273.0,17.67
29.13,43.84,84.03,1715.8,85.53,181.0,37.97,65.19,269.1,17.91
29.15,44.75,85.37,1693.65,86.61,175.25,38.33,62.74,263.72,19.2
29.33,44.87,85.42,1720.19,87.3,183.31,39.08,64.83,264.7,19.33
29.42,45.05,84.54,1719.96,86.91,185.0,39.23,66.89,268.47,19.02
29.9,45.4,86.22,1790.21,86.12,187.89,39.51,67.7,272.58,19.94
29.53,44.87,85.0,1763.5,87.17,193.39,38.7,66.88,271.79,20.08
29.22,44.43,87.25,1726.88,86.13,189.0,37.79,66.78,262.97,19.76
29.3,45.09,89.15,1734.39,86.0,191.25,38.12,67.47,260.58,20.41
29.98,45.85,90.1,1737.9,86.95,193.2,38.3,69.5,262.3,20.61
30.3,44.2,90.03,1713.91,85.99,193.2,37.79,68.7,254.0,21.02
31.3,46.2,93.38,1737.0,87.61,196.0,38.55,69.92,257.99,21.6
31.08,46.8,92.85,1738.01,87.53,195.52,38.54,69.72,260.55,21.3
30.9,46.49,91.87,1749.0,89.99,194.93,38.94,69.43,261.63,21.24
30.3,45.78,92.19,1793.11,91.32,196.43,39.79,69.24,267.19,21.12
30.01,44.42,90.38,1812.4,89.88,207.75,40.18,71.72,270.24,20.5
30.01,44.26,88.05,1850.0,90.07,208.03,40.68,72.54,272.0,20.26
29.29,44.24,87.87,1840.0,88.24,202.33,40.24,73.37,269.72,20.45
29.16,44.28,87.68,1832.9,89.0,207.8,39.43,74.1,267.67,20.28
28.75,42.68,86.1,1820.0,89.5,206.0,39.04,72.8,267.52,20.12
28.84,44.37,87.69,1829.0,90.11,213.6,40.06,75.77,273.15,20.53
28.81,44.35,86.3,1816.01,97.02,218.38,40.4,76.31,270.8,20.08
28.61,44.06,86.84,1840.0,97.01,220.36,40.49,76.0,274.33,20.42
29.22,44.05,88.98,1865.51,105.18,225.49,41.31,74.81,277.81,20.77
28.81,43.1,87.79,1845.0,105.66,217.25,40.7,77.65,276.86,20.46
29.03,42.89,87.05,1842.5,107.86,229.13,41.5,85.42,281.91,20.14
28.01,41.91,84.15,1881.0,106.2,236.95,40.96,87.9,282.38,19.81
28.2,42.32,84.85,1841.65,106.0,246.88,41.57,92.2,278.29,19.82
28.06,42.57,84.2,1830.34,108.8,252.2,40.51,90.6,275.32,20.17
28.02,42.72,83.2,1830.0,115.01,259.0,40.0,93.45,275.92,20.21
27.98,43.04,84.62,1873.0,111.0,257.6,41.89,92.15,285.95,20.49
28.15,42.83,85.5,1867.0,108.28,255.15,41.87,88.4,281.0,20.63
28.5,43.05,85.88,1933.0,112.7,263.12,43.96,90.74,286.88,20.9
29.4,43.95,86.98,1998.0,111.46,282.45,44.37,92.2,291.85,20.87
29.18,43.17,85.18,1997.0,111.2,292.25,47.36,100.1,298.05,19.65
29.14,42.18,84.27,2059.45,113.23,293.02,50.93,104.87,319.98,18.86
29.62,44.15,85.74,2100.0,113.72,288.0,50.56,107.0,328.3,19.73
29.75,45.9,86.26,2140.0,115.0,311.0,51.69,113.55,330.0,20.1
30.06,46.6,86.1,2090.0,113.22,291.0,49.27,110.4,317.0,20.32
29.28,48.42,84.03,2099.73,111.3,298.4,48.64,106.15,301.2,20.51
32.03,49.7,87.82,2160.9,114.1,319.1,49.67,109.95,310.0,20.85
30.95,49.4,87.54,2164.0,112.57,299.99,48.59,108.18,305.33,21.1
30.2,49.05,85.27,2134.0,110.18,280.55,46.95,100.99,289.4,21.35
30.18,51.14,86.9,2082.0,109.83,280.01,46.65,102.35,287.7,22.71
30.35,51.92,87.2,2063.0,107.83,274.2,47.51,103.17,284.55,24.21
30.45,51.85,86.8,2009.41,104.95,268.15,46.14,102.5,281.5,23.88
31.1,51.72,85.2,2040.63,105.97,272.94,46.16,108.31,284.85,23.22
31.17,52.64,84.44,2070.0,108.15,272.0,46.25,114.02,296.95,23.41
30.33,51.64,83.8,2079.95,112.6,283.0,46.04,119.7,295.56,22.93
29.97,52.11,84.88,2175.0,111.45,308.0,48.83,116.77,315.69,22.91
28.78,51.4,83.0,2141.89,107.0,297.98,46.99,114.08,305.78,22.85
28.71,52.0,83.04,2089.0,106.62,297.0,46.21,123.0,292.58,23.45
28.5,51.61,80.92,2088.0,104.66,287.0,44.04,113.24,286.0,23.2
28.35,51.1,79.08,2116.18,103.76,294.0,44.2,107.55,291.14,23.1
28.3,52.4,79.27,2109.32,102.55,306.0,44.25,106.92,292.29,24.07
28.16,51.97,78.18,2145.0,106.0,331.01,44.98,109.01,304.12,23.59
27.97,53.05,76.54,2189.91,105.0,340.98,43.28,108.82,308.75,24.69
27.09,53.5,79.62,2320.85,102.8,328.94,43.73,110.74,313.6,24.77
27.02,54.74,79.72,2313.0,107.3,346.95,44.15,114.62,319.76,25.76
27.32,55.26,78.57,2368.8,106.28,357.99,45.72,112.2,320.0,26.75
27.99,55.26,78.13,2456.43,109.74,359.73,46.02,117.41,329.5,26.81
27.87,54.55,79.25,2601.0,109.2,387.86,46.49,121.98,342.65,26.64
27.94,55.69,82.38,2471.0,104.9,379.9,45.8,122.3,333.5,27.73
28.62,55.2,84.2,2460.0,105.16,371.9,48.24,117.0,344.4,26.75
27.77,54.2,83.0,2288.02,100.01,339.0,46.58,108.88,313.06,25.81
27.6,55.55,84.32,2307.0,100.7,332.78,45.01,111.27,315.0,26.41
27.42,53.6,83.78,2189.0,99.7,314.63,44.2,104.0,293.08,25.71
27.73,54.45,87.14,2150.0,101.05,319.1,44.1,104.0,288.9,26.21
27.25,51.1,85.18,2122.78,101.8,307.91,43.22,104.46,280.0,24.68
25.62,50.39,84.84,2158.0,100.31,324.56,43.8,109.41,289.02,24.91
25.16,49.55,83.23,2058.0,98.35,316.1,43.0,109.99,280.7,24.87
25.37,52.77,86.75,2140.0,101.35,324.5,43.67,108.0,285.3,25.97
24.81,52.4,86.3,2033.0,100.5,309.63,41.5,98.1,266.31,25.3
25.05,51.4,84.5,2060.11,100.3,305.88,41.46,99.44,266.5,24.8
24.54,49.93,84.95,1960.0,92.12,278.99,39.8,89.5,244.5,23.77
23.75,48.5,84.05,1936.99,91.78,282.29,37.95,84.0,242.5,23.21
23.69,49.25,83.28,1970.01,93.4,299.62,38.42,85.0,252.6,22.89
24.03,51.97,86.36,2048.0,93.48,301.78,39.3,88.99,265.04,23.79
23.78,53.32,85.55,2026.0,92.19,309.41,39.48,91.08,264.45,23.92
23.26,53.11,85.11,1975.45,89.59,297.8,38.28,81.97,251.01,24.09
23.4,54.32,85.4,2010.5,89.19,296.57,39.02,81.6,262.41,24.61
23.64,53.4,82.54,2030.36,88.62,308.07,39.59,82.66,264.31,23.98
23.55,54.24,81.42,2069.7,89.21,312.7,40.15,82.85,270.39,23.86
23.98,51.76,79.64,2010.0,88.05,306.56,38.96,78.96,260.79,23.22
24.15,53.78,79.82,1989.99,88.11,311.65,39.25,80.05,259.5,23.63
24.06,53.48,80.05,1996.0,87.65,300.02,38.96,78.57,262.25,23.36
24.04,52.2,79.01,1989.0,86.52,295.04,39.1,76.79,260.8,22.56
23.9,51.01,79.2,1971.0,87.23,299.0,39.24,77.0,255.98,22.71
23.98,51.6,80.01,2013.0,91.22,313.43,40.38,80.42,265.95,23.23
24.26,50.94,79.13,2034.1,90.53,315.85,40.4,80.2,272.09,23.19
24.26,51.56,79.37,2056.05,93.6,317.88,40.26,87.62,273.46,23.22
23.89,51.1,78.7,2009.0,92.09,306.08,40.03,88.0,267.98,24.09
24.16,51.05,79.2,2044.5,93.85,321.95,40.3,89.62,273.08,24.07
24.13,50.95,78.88,2162.0,92.68,333.5,40.5,88.89,284.56,23.38
