date,MKT,SMB,HML
2018-02-28,-0.06591941225427335,0.05202056368666412,-0.06866627691494664
2018-03-30,-0.04306451661909611,0.07028539064756627,-0.046140557267440416
2018-04-27,-0.026353491985218545,-0.010786082578335313,0.015169005424014757
2018-05-31,0.01209826405731371,-0.030583319064971737,-0.07243417187645985
2018-06-29,-0.05738937836793371,-0.024835050116430578,-0.022138603399435533
2018-07-31,0.02347933363067558,-0.012868290255533663,0.055704433995374315
2018-08-31,-0.040019998891128,-0.010623579227892019,0.04686936774525893
2018-09-28,0.04668851067849316,-0.03875267116607854,0.03246191603046164
2018-10-31,-0.07631651974902065,-0.0014331218114011501,0.1272670705278452
2018-11-30,-0.014791896970259292,0.03955710019500163,-0.057862591837024205
2018-12-28,-0.0389684791676606,-0.004490083065980366,0.008806747948091904
2019-01-31,0.06287737810459836,-0.034966191280814955,-0.03270330045212391
2019-02-28,0.11128717807004831,0.08552480622834856,-0.06681813708382059
2019-03-29,0.03186317002746611,0.030427132703318982,-0.0989480184966054
2019-04-30,0.01646466167412519,-0.04580926094842601,0.00993434894567476
2019-05-31,-0.060174233825427546,0.005851889625007101,-0.01168139633017505
2019-06-28,0.05416844206366795,-0.027845306941121167,-0.04095229836879092
2019-07-31,0.009392314657042149,0.018765892787655267,-0.027719919527803318
2019-08-30,-0.008896491554532798,0.016127104147434942,-0.11419998287735456
2019-09-30,0.0016956775689031438,0.024030716490625523,0.011827303868551325
2019-10-31,0.020182216095016164,-0.022790518533519474,-0.012694059393855244
2019-11-29,-0.016688131823602122,0.03922189364891484,-0.004200597156487651
2019-12-31,0.058617715785401855,0.036004228709661926,-0.02285881339608356
2020-01-23,-0.02764035954004037,0.05704290595500311,-0.09301578337796426
2020-02-28,-0.025159917271706345,0.022514389317164,-0.09019070788243905
2020-03-31,-0.059488552860362434,-0.027158633912417948,0.050336290863740966
2020-04-30,0.05533664839928657,0.014002200694914715,-0.12138536271601963
2020-05-29,-0.010462380284286121,0.00980553985564513,-0.047313380195184114
2020-06-30,0.0692305185884876,0.013474269184130555,-0.13148004917048955
2020-07-31,0.125182976246527,0.02477575482939881,-0.06289702581502342
2020-08-31,0.032725488104547625,-0.029491294895919083,0.04214786217649302
2020-09-30,-0.036637806035174254,-0.007827416659329914,0.011652525532032026
2020-10-30,0.027157970342764116,-0.02389643206350489,-0.02443098623923516
2020-11-30,0.05924843630470516,0.039371404237706624,0.05545168268154874
2020-12-31,0.050619821106077184,-0.015216974116472083,-0.20509626215351157
2021-01-29,0.02677172450462115,0.006820554606549633,-0.07193777763338907
2021-02-26,-0.004573393824760493,0.004134146738239246,0.12181810051708779
2021-03-31,-0.04310859581313487,0.018034138338232954,0.11568141207582211
2021-04-30,0.012953439690513598,0.0309004870395026,-0.09934020988361528
2021-05-31,0.047756861972430176,0.025004780178570753,-0.05413354271262363
2021-06-30,-0.006802196719784189,0.051411379992049394,-0.08159104821919855
2021-07-30,-0.0663507012346667,0.09745580985803258,-0.009462430539669692
2021-08-31,0.01563304646064558,0.028580910212513383,0.15135671621500624
2021-09-30,0.02063215694777666,-0.00030111059733268705,0.05382876843832521
2021-10-29,0.00824035909876078,0.0007802037441313253,-0.06338025217697779
2021-11-30,-0.016265926017140032,0.05146544338262746,-0.06073966930754885
2021-12-31,0.01692712812575663,0.012944892198859796,0.08150508487502273
2022-01-28,-0.06856651801371486,-0.02101022389860418,0.10410097084139336
2022-02-28,0.012281076195314829,0.03444309785424762,-0.002321332946428504
2022-03-31,-0.07103867092412527,-0.025609506577650418,0.0900034893329063
2022-04-29,-0.03388111999050416,-0.035308513072090764,0.024929681193032974
2022-05-31,0.019999875332577816,0.051408834234915005,-0.04274326883652404
2022-06-30,0.08518755292092858,-0.005653155277906552,-0.10208851226798057
2022-07-29,-0.05338318399914835,0.01784094872740935,0.031740046638468224
2022-08-31,-0.006351389613753335,-0.0008644433823250895,0.02682968338573854
2022-09-30,-0.04916141408055046,-0.020808709942103883,0.009420948996054682
2022-10-31,-0.08278610790778335,0.11593785524149626,-0.013359182441942237
2022-11-30,0.09863674379631177,-0.011416533233982645,0.05768854429177511
2022-12-30,0.00024861929106882643,-0.0385396148281789,-0.03035726257291184
2023-01-31,0.05633127237876964,0.027158873957104514,-0.029686953618452916
2023-02-28,-0.009391552421474127,0.032222156843487545,0.02200630921756864
2023-03-31,0.01346642940251774,0.041730361214948004,-0.018095227610980855
2023-04-28,0.02036847260740988,0.0005645474267974362,0.12287410869694299
2023-05-31,-0.044800887970842404,0.033599329985649365,0.012345257012766175
2023-06-30,0.016969968702482796,-0.007021866778394163,-0.019694039754260664
2023-07-31,0.051571113666248024,-0.02583648290331867,0.05925380208063309
2023-08-31,-0.05366950421068124,-0.007543080641157912,-0.00022513568536041556
2023-09-28,-0.010063024342254328,0.0023746574633004072,0.04684983396515521
2023-10-31,-0.03433620180662276,0.0141422872211742,-0.01952545592829267
2023-11-30,-0.013077875164311128,0.013064484731129337,-0.019669188204566812
2023-12-29,-0.013926811495575305,0.01264683899897497,-0.013386631274281365
2024-01-31,-0.030987647560809288,-0.07110009477575852,0.2006806187556596
2024-02-29,0.08590790101646162,0.05653092897700514,-0.09290423183908897
2024-03-29,0.013078652317031871,0.0017565176213914166,-0.009746366608038478
2024-04-30,0.024220960192996632,-0.0031694999794812904,0.011184315731548052
2024-05-31,-0.005283474938987915,0.0021391469408949663,0.043378033449430815
2024-06-28,-0.01047462370599424,-0.022211560657377095,0.01596352625729021
2024-07-31,0.0012730066778796623,0.019433404950719532,0.02359806968088169
2024-08-30,-0.025206624301791884,-0.03760814295564495,0.022540260405318174
2024-09-30,0.17651328869459712,0.05199387169455286,-0.06205144391919393
2024-10-31,-0.040019462030188975,0.06568432414676155,-0.011790158573388821
2024-11-29,0.006425615016129243,0.026037656239750025,-0.019486616185357245
2024-12-31,0.021903877219262863,-0.025203270505103736,0.04675681839300483
